"","stateabbr","block_fips","hu2010","hu2011","hu2012","hu2013","hu2014","hu2015","hu2016","hu2017","pop2010","pop2011","pop2012","pop2013","pop2014","pop2015","pop2016","pop2017","hh2010","hh2011","hh2012","hh2013","hh2014","hh2015","hh2016","hh2017","TractCode"
"10089930","VT",500019601002013,32,32,32,32,32,32,32,32,69,69,68,68,68,68,68,68,28,28,28,28,28,28,28,28,"50001960100"
"10089931","VT",500019601002014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089932","VT",500019601002015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089933","VT",500019601002016,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,"50001960100"
"10089934","VT",500019601002017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089935","VT",500019601002018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089936","VT",500019601002019,1,1,2,2,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0.8403,0.8403,0.8403,0.8403,1.6806,1.6806,"50001960100"
"10089937","VT",500019601002020,16,16,16,16,16,17,17,17,32,32,32,33,33,33,33,33,13,13,13,13,13,13.8125,13.8125,13.8125,"50001960100"
"10089938","VT",500019601002021,6,6,6,6,6,6,6,7,16,16,16,16,16,16,16,16,6,6,6,6,6,6,6,7,"50001960100"
"10089939","VT",500019601002022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089940","VT",500019601002023,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,16,16,16,16,16,16,16,16,"50001960100"
"10089941","VT",500019601002024,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,9,9,9,9,9,9,9,9,"50001960100"
"10089942","VT",500019601002025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
"10089943","VT",500019601002026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50001960100"
